"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 17, 2019","99.80","100.80","101.25","99.20","1.69K","-0.65%"
"Oct 16, 2019","100.45","99.55","101.15","99.55","1.68K","0.30%"
"Oct 15, 2019","100.15","99.50","101.00","99.05","1.07K","0.75%"
"Oct 14, 2019","99.40","96.95","99.75","96.95","1.30K","2.05%"
"Oct 11, 2019","97.40","97.10","97.95","96.80","0.73K","0.41%"
"Oct 10, 2019","97.00","99.30","99.70","96.70","0.91K","-0.77%"
"Oct 09, 2019","97.75","101.80","102.45","97.25","1.14K","-4.45%"
"Oct 08, 2019","102.30","103.45","104.50","101.25","1.10K","-1.11%"
"Oct 07, 2019","103.45","99.85","103.70","99.85","1.01K","3.40%"
"Oct 04, 2019","100.05","100.00","100.30","99.50","0.58K","0.15%"
"Oct 03, 2019","99.90","99.65","100.35","99.25","0.55K","0.81%"
"Oct 02, 2019","99.10","99.25","99.75","98.65","0.47K","0.35%"
"Oct 01, 2019","98.75","99.90","99.95","98.05","0.77K","-1.00%"
"Sep 30, 2019","99.75","100.05","100.10","98.30","0.49K","-0.10%"
"Sep 27, 2019","99.85","97.55","100.00","97.55","0.87K","2.41%"
"Sep 26, 2019","97.50","96.80","98.05","96.50","0.75K","0.52%"
"Sep 25, 2019","97.00","98.90","99.05","96.05","1.08K","-1.27%"
"Sep 24, 2019","98.25","99.70","100.40","98.15","0.49K","-1.85%"
"Sep 23, 2019","100.10","100.50","100.60","99.10","0.30K","-0.05%"
"Sep 20, 2019","100.15","99.00","101.05","99.00","0.67K","1.52%"
"Sep 19, 2019","98.65","99.15","99.90","98.00","0.54K","-0.45%"
"Sep 18, 2019","99.10","101.00","101.10","98.70","0.50K","-1.74%"
"Sep 17, 2019","100.85","102.40","102.70","100.35","0.52K","-1.18%"
"Sep 16, 2019","102.05","102.20","103.55","101.75","0.41K","0.10%"
"Sep 13, 2019","101.95","103.00","103.05","101.70","0.47K","-1.02%"
"Sep 12, 2019","103.00","104.05","105.00","102.65","0.45K","-2.14%"
"Sep 11, 2019","105.25","104.05","105.50","103.20","0.70K","1.22%"
"Sep 10, 2019","103.98","101.60","104.15","101.60","-","2.41%"
"Sep 09, 2019","101.53","101.85","103.22","101.20","-","-0.34%"
"Sep 06, 2019","101.88","103.93","104.08","101.70","-","-2.04%"
"Sep 05, 2019","104.00","104.50","104.50","104.50","0.00K","1.71%"
"Sep 04, 2019","102.25","99.03","103.50","98.65","-","4.55%"
"Sep 03, 2019","97.80","97.05","97.05","94.50","0.03K","-2.69%"
"Aug 30, 2019","100.50","106.00","106.90","101.00","0.45K","-3.87%"
"Aug 29, 2019","104.55","103.00","105.70","102.45","1.20K","2.25%"
"Aug 28, 2019","102.25","99.00","102.35","99.00","0.65K","3.02%"
"Aug 27, 2019","99.25","98.50","99.50","97.75","0.86K","0.76%"
"Aug 26, 2019","98.50","95.50","99.25","95.50","0.92K","2.55%"
"Aug 23, 2019","96.05","96.00","97.45","95.50","0.93K","-0.93%"
"Aug 22, 2019","96.95","98.50","98.50","95.85","0.73K","-0.97%"
"Aug 21, 2019","97.90","96.05","98.60","95.10","1.17K","2.30%"
"Aug 20, 2019","95.70","94.80","96.20","93.90","1.97K","1.38%"
"Aug 19, 2019","94.40","98.70","100.00","92.70","2.83K","-4.45%"
"Aug 16, 2019","98.80","97.60","100.40","96.15","2.08K","1.23%"
"Aug 15, 2019","97.60","98.90","98.95","97.00","0.93K","-1.21%"
"Aug 14, 2019","98.80","98.95","100.10","98.45","0.55K","0.00%"
"Aug 13, 2019","98.80","99.30","99.95","98.40","0.79K","-0.05%"
"Aug 12, 2019","98.85","101.70","102.80","98.35","0.83K","-3.37%"
"Aug 09, 2019","102.30","101.50","102.65","100.20","0.47K","0.49%"
"Aug 08, 2019","101.80","100.90","103.15","100.90","0.66K","0.79%"
"Aug 07, 2019","101.00","102.90","103.20","100.55","0.58K","-1.85%"
"Aug 06, 2019","102.90","99.00","103.00","97.80","1.35K","4.47%"
"Aug 05, 2019","98.50","98.75","99.20","95.85","1.11K","-0.71%"
"Aug 02, 2019","99.20","100.45","100.50","98.20","1.05K","-1.49%"
"Aug 01, 2019","100.70","103.45","103.45","100.25","0.88K","-2.66%"
"Jul 31, 2019","103.45","102.30","103.80","101.75","0.54K","1.07%"
"Jul 30, 2019","102.35","102.60","103.85","102.10","0.64K","0.64%"
"Jul 29, 2019","101.70","102.30","102.85","100.95","0.59K","-0.73%"
"Jul 26, 2019","102.45","104.25","104.25","101.75","0.46K","-1.63%"
"Jul 25, 2019","104.15","104.00","104.30","103.25","0.52K","0.24%"
"Jul 24, 2019","103.90","101.75","104.10","101.75","0.58K","2.36%"
"Jul 23, 2019","101.50","103.25","103.25","101.25","0.46K","-1.50%"
"Jul 22, 2019","103.05","103.80","104.00","102.30","0.34K","-1.01%"
"Jul 19, 2019","104.10","101.00","104.60","101.00","0.97K","3.58%"
"Jul 18, 2019","100.50","102.95","102.95","100.40","0.83K","-2.47%"
"Jul 17, 2019","103.05","104.55","104.60","101.50","0.42K","-1.58%"
"Jul 16, 2019","104.70","101.95","104.90","101.95","0.83K","3.41%"
"Jul 15, 2019","101.25","103.50","103.90","101.00","0.68K","-2.08%"
"Jul 12, 2019","103.40","102.60","104.35","102.55","0.61K","0.88%"
"Jul 11, 2019","102.50","103.15","103.48","102.30","-","-0.73%"
"Jul 10, 2019","103.25","103.82","104.70","103.05","-","-0.08%"
"Jul 09, 2019","103.33","105.65","105.75","101.80","-","-1.71%"
"Jul 08, 2019","105.13","102.30","105.73","102.20","-","2.57%"
"Jul 05, 2019","102.50","101.35","102.70","100.95","-","1.59%"
"Jul 03, 2019","100.90","100.25","101.60","98.90","-","5.21%"
"Jul 02, 2019","95.90","98.00","98.00","96.00","0.00K","-2.44%"
"Jul 01, 2019","98.30","101.90","101.90","98.00","0.02K","-2.63%"
"Jun 28, 2019","100.95","99.45","101.65","99.45","0.21K","1.66%"
"Jun 27, 2019","99.30","99.00","100.30","97.70","0.97K","0.40%"
"Jun 26, 2019","98.90","100.65","101.40","98.00","0.69K","-1.64%"
"Jun 25, 2019","100.55","99.85","102.30","99.85","0.75K","1.31%"
"Jun 24, 2019","99.25","99.85","100.25","96.90","1.20K","-0.75%"
"Jun 21, 2019","100.00","99.95","100.60","99.55","0.78K","0.20%"
"Jun 20, 2019","99.80","99.10","101.25","98.00","1.73K","1.01%"
"Jun 19, 2019","98.80","101.80","102.10","98.10","1.55K","-2.85%"
"Jun 18, 2019","101.70","104.35","105.30","101.05","1.78K","-2.91%"
"Jun 17, 2019","104.75","104.45","105.95","104.20","1.74K","0.24%"
"Jun 14, 2019","104.50","104.45","105.10","103.25","1.20K","1.70%"
"Jun 13, 2019","102.75","101.20","104.05","101.15","1.03K","1.18%"
"Jun 12, 2019","101.55","103.50","104.50","100.70","1.15K","-1.84%"
"Jun 11, 2019","103.45","101.65","103.90","100.35","1.31K","1.77%"
"Jun 10, 2019","101.65","106.10","107.35","100.25","0.92K","-4.19%"
"Jun 07, 2019","106.10","107.25","107.80","105.10","0.41K","-1.12%"
"Jun 06, 2019","107.30","103.55","108.00","102.15","0.79K","3.42%"
"Jun 05, 2019","103.75","108.45","109.75","103.40","1.13K","-4.42%"
"Jun 04, 2019","108.55","111.20","112.60","107.00","1.12K","-2.12%"
"Jun 03, 2019","110.90","108.25","111.50","106.95","1.15K","2.31%"
"May 31, 2019","108.40","104.80","108.75","104.70","1.34K","3.68%"
"May 30, 2019","104.55","104.25","105.55","104.00","0.59K","1.31%"
"May 29, 2019","103.20","104.80","106.05","102.65","0.72K","-1.15%"
"May 28, 2019","104.40","100.85","105.05","100.85","0.76K","3.42%"
"May 24, 2019","100.95","99.70","101.50","98.50","0.54K","1.25%"
"May 23, 2019","99.70","98.45","101.95","98.45","0.70K","1.53%"
"May 22, 2019","98.20","98.50","101.30","97.95","0.43K","0.20%"
"May 21, 2019","98.00","99.65","99.75","95.10","0.67K","-2.24%"
"May 20, 2019","100.25","97.95","101.50","96.85","0.70K","3.62%"
"May 17, 2019","96.75","102.55","102.75","96.40","1.19K","-5.61%"
"May 16, 2019","102.50","106.75","107.50","102.25","1.39K","-4.12%"
"May 15, 2019","106.90","102.10","107.80","102.10","2.09K","5.11%"
"May 14, 2019","101.70","96.70","102.50","96.70","1.32K","6.16%"
"May 13, 2019","95.80","95.70","96.90","95.35","0.73K","-0.24%"
"May 10, 2019","96.03","93.60","96.53","93.30","-","2.62%"
"May 09, 2019","93.58","94.25","94.25","91.90","-","-0.55%"
"May 08, 2019","94.10","90.75","95.10","90.75","-","3.12%"
"May 07, 2019","91.25","92.25","92.50","92.25","0.00K","-0.71%"
"May 06, 2019","91.90","91.00","91.00","91.00","0.01K","-1.64%"
"May 03, 2019","93.43","93.82","94.53","93.30","-","0.52%"
"May 02, 2019","92.95","95.55","95.55","93.25","0.08K","-1.17%"
"May 01, 2019","94.05","95.15","95.15","90.30","0.07K","-0.79%"
"Apr 30, 2019","94.80","96.65","97.15","91.00","0.56K","-1.96%"
"Apr 29, 2019","96.70","99.85","99.85","96.50","0.65K","-3.11%"
"Apr 26, 2019","99.80","101.00","101.25","99.25","1.01K","-0.94%"
"Apr 25, 2019","100.75","100.40","102.40","100.40","0.83K","0.30%"
"Apr 24, 2019","100.45","101.35","102.75","99.85","1.12K","-0.54%"
"Apr 23, 2019","101.00","106.10","106.35","100.20","1.04K","-4.76%"
"Apr 22, 2019","106.05","107.00","107.20","105.90","0.37K","-1.12%"
"Apr 18, 2019","107.25","109.80","110.40","107.00","1.00K","-2.19%"
"Apr 17, 2019","109.65","107.80","110.15","107.70","1.59K","2.05%"
"Apr 16, 2019","107.45","110.50","110.50","106.60","2.12K","-2.18%"
"Apr 15, 2019","109.85","106.75","111.45","106.50","1.49K","2.95%"
"Apr 12, 2019","106.70","107.15","108.00","105.40","1.48K","-0.42%"
"Apr 11, 2019","107.15","108.20","109.35","106.45","1.17K","-1.34%"
"Apr 10, 2019","108.60","108.90","109.80","108.20","1.52K","-0.73%"
"Apr 09, 2019","109.40","111.55","112.50","107.65","1.77K","-1.84%"
"Apr 08, 2019","111.45","116.30","116.85","110.55","2.40K","-4.54%"
"Apr 05, 2019","116.75","117.70","118.80","116.35","1.03K","-0.81%"
"Apr 04, 2019","117.70","120.20","120.40","117.65","1.33K","-2.24%"
"Apr 03, 2019","120.40","122.50","123.20","119.75","0.48K","-1.03%"
"Apr 02, 2019","121.65","123.25","124.95","121.50","0.59K","-1.58%"
"Apr 01, 2019","123.60","120.15","124.95","120.15","0.88K","3.09%"
"Mar 29, 2019","119.90","122.75","123.90","119.50","0.95K","-3.15%"
"Mar 28, 2019","123.80","123.50","124.50","120.80","0.94K","0.65%"
"Mar 27, 2019","123.00","129.10","129.35","120.40","1.16K","-4.28%"
"Mar 26, 2019","128.50","128.55","129.65","128.00","1.38K","-0.27%"
"Mar 25, 2019","128.85","128.65","130.50","127.40","1.33K","-0.77%"
"Mar 22, 2019","129.85","127.00","130.00","125.50","0.91K","1.84%"
"Mar 21, 2019","127.50","130.15","131.00","127.05","1.63K","-2.00%"
"Mar 20, 2019","130.10","129.35","130.15","129.30","0.87K","0.66%"
"Mar 19, 2019","129.25","128.50","129.40","128.50","0.90K","0.58%"
"Mar 18, 2019","128.50","126.25","129.05","126.20","1.07K","1.66%"
"Mar 15, 2019","126.40","125.00","126.50","124.55","0.61K","1.20%"
"Mar 14, 2019","124.90","123.50","126.00","123.50","1.07K","1.17%"
"Mar 13, 2019","123.45","124.50","127.85","122.75","2.01K","-0.04%"
"Mar 12, 2019","123.50","118.25","124.45","118.25","1.82K","9.34%"
"Mar 11, 2019","112.95","110.90","113.85","110.70","0.01K","1.26%"
"Mar 08, 2019","111.55","111.70","111.70","111.25","0.00K","-0.36%"
"Mar 07, 2019","111.95","111.95","111.95","111.90","0.00K","-0.22%"
"Mar 06, 2019","112.20","112.90","113.10","112.90","0.01K","-0.40%"
"Mar 05, 2019","112.65","113.80","113.80","112.75","0.15K","-1.49%"
"Mar 04, 2019","114.35","113.75","114.00","113.70","0.01K","0.26%"
"Mar 01, 2019","114.05","114.55","114.75","113.75","0.11K","-0.22%"
"Feb 28, 2019","114.30","112.95","114.25","112.15","0.71K","1.02%"
"Feb 27, 2019","113.15","116.25","116.25","113.00","0.88K","-3.00%"
"Feb 26, 2019","116.65","118.15","118.15","116.10","0.94K","-1.52%"
"Feb 25, 2019","118.45","120.65","121.25","118.10","0.93K","-2.35%"
"Feb 22, 2019","121.30","119.65","121.90","118.95","1.32K","1.04%"
"Feb 21, 2019","120.05","119.35","120.40","118.50","0.73K","0.17%"
"Feb 20, 2019","119.85","118.50","120.70","118.20","1.24K","0.88%"
"Feb 19, 2019","118.80","115.85","119.00","115.25","2.55K","3.13%"
"Feb 15, 2019","115.20","117.85","118.85","115.00","1.94K","-2.12%"
"Feb 14, 2019","117.70","119.20","119.30","117.00","2.36K","-1.18%"
"Feb 13, 2019","119.10","119.80","119.80","118.95","1.41K","0.17%"
"Feb 12, 2019","118.90","118.35","119.90","118.35","1.58K","0.46%"
"Feb 11, 2019","118.35","121.15","121.45","118.25","1.13K","-2.15%"
"Feb 08, 2019","120.95","120.15","121.20","119.80","0.65K","0.92%"
"Feb 07, 2019","119.85","119.30","120.55","118.95","0.61K","-0.50%"
"Feb 06, 2019","120.45","120.00","121.50","119.85","0.54K","0.37%"
"Feb 05, 2019","120.00","119.20","121.00","118.95","0.61K","0.80%"
"Feb 04, 2019","119.05","121.60","122.00","118.80","1.20K","-2.62%"
"Feb 01, 2019","122.25","120.00","122.65","119.50","1.08K","1.79%"
"Jan 31, 2019","120.10","116.80","120.80","116.50","1.14K","2.65%"
"Jan 30, 2019","117.00","116.50","117.20","116.05","0.81K","-0.38%"
"Jan 29, 2019","117.45","117.95","118.20","115.90","0.76K","-0.76%"
"Jan 28, 2019","118.35","119.70","119.75","117.75","0.44K","-0.88%"
"Jan 25, 2019","119.40","118.45","120.00","118.00","0.43K","0.21%"
"Jan 24, 2019","119.15","117.80","119.65","117.00","0.95K","1.06%"
"Jan 23, 2019","117.90","119.25","119.90","117.65","0.58K","-1.09%"
"Jan 22, 2019","119.20","120.00","121.20","118.40","1.01K","-0.54%"
"Jan 18, 2019","119.85","119.60","121.30","119.40","0.62K","0.29%"
"Jan 17, 2019","119.50","120.50","120.80","119.00","0.47K","-1.16%"
"Jan 16, 2019","120.90","121.85","121.95","119.70","0.76K","-0.41%"
"Jan 15, 2019","121.40","121.50","123.00","121.00","0.79K","0.54%"
"Jan 14, 2019","120.75","120.90","123.50","118.65","1.06K","-0.21%"
"Jan 11, 2019","121.00","122.60","122.95","120.70","0.73K","-1.05%"
"Jan 10, 2019","122.28","125.20","125.25","122.10","-","-1.03%"
"Jan 09, 2019","123.55","121.70","124.45","121.70","0.00K","1.02%"
"Jan 08, 2019","122.30","123.50","123.50","123.50","0.00K","0.29%"
"Jan 07, 2019","121.95","121.20","122.00","121.15","0.05K","0.54%"
"Jan 04, 2019","121.30","121.00","121.00","120.40","0.06K","-0.29%"
"Jan 03, 2019","121.65","125.70","125.70","124.25","0.01K","-0.61%"
"Jan 02, 2019","122.40","122.95","123.35","122.75","0.01K","-2.20%"
"Jan 01, 2019","122.40","122.95","123.35","122.75","0.01K","-2.20%"
